9012	I would like 〜	～したいと思います	I would like to have a cup of coffee right now.	今、コーヒーを一杯飲みたいと思います。	いま、こーひーをいっぱいのみたいとおもいます。
9013	I've been 〜ing	～している、進行中のアクションを示す表現	I've been studying English for three years now.	私は今英語を勉強して3年になります。	わたしはこんえいごをべんきょうしてさんねんになります。
9014	Have you been 〜ing?	進行中の行動を尋ねる表現（〜している？）	Have you been studying for the exam lately?	最近、試験のために勉強していますか？	さいきん、しけんのためにべんきょうしていますか?
9015	I've never 〜	未経験である、～したことがない	I've never been to Paris, but I really want to go someday.	私はパリに行ったことがないけれど、いつか行きたいです。	わたしはぱりにいったことがないけれど、いつかいきたいです。
9016	I haven't 〜 yet.	まだ～していない	I haven't finished my homework yet.	私はまだ宿題を終えていません。	わたしはまだしゅくだいをおえていません。
9017	I like 〜ing	好む、好きであること	I like reading books before bed.	寝る前に本を読むのが好きです。	ねるまえにほんをよむのがすきです。
9018	Do you want to 〜?	～したいですか？	Do you want to grab some coffee later?	後でコーヒーを飲みに行きませんか？	あとでこーひーをのみにいきませんか?
9019	I was going to 〜	～するつもりだった	I was going to call you, but I forgot.	あなたに電話するつもりだったけど、忘れてしまった。	あなたにでんわするつもりだったけど、わすれてしまった。
9020	When I was 〜	〜の時、私が〜の時	When I was a child, I used to play outside every day.	子供の頃、毎日外で遊んでいました。	こどものころ、まいにちがいであそんでいました。
9021	I'm kind of 〜	なんとなく、ちょっとした、やや、いくらかの	I'm kind of tired after that long hike.	あの長いハイキングの後、ちょっと疲れています。	あのながいはいきんぐのあと、ちょっとつかれています。
9022	Do you know where 〜	どこで～か知っていますか？	Do you know where the nearest coffee shop is?	一番近いコーヒーショップがどこにあるか知っていますか？	いちばんちかいこーひーしょっぷがどこにあるかしっていますか?
9023	Do you know how 〜	〜する方法を知っていますか	Do you know how to cook Italian food?	イタリアン料理を作る方法を知っていますか？	いたりあんりょうりをつくるほうほうをしっていますか?
9024	It depends on 〜	それは〜次第である、〜による	Whether we go on a trip this weekend really depends on the weather.	今週末旅行に行くかどうかは本当に天気次第です。	こんしゅうまつりょこうにいくかどうかはほんとうにてんきしだいです。
9025	What do you think about 〜	～についてどう思いますか？	What do you think about the new restaurant that just opened downtown?	ダウンタウンに新しくオープンしたレストランについてどう思いますか？	だうんたうんにあたらしくおーぷんしたれすとらんについてどうおもいますか?
9026	What kind of 〜	どのような〜	What kind of music do you like to listen to?	どんな音楽を聴くのが好きですか？	どんなおんがくをきくのがすきですか?
9027	It doesn't matter 〜	関係ない、重要でない	It doesn't matter what others think; you should follow your own dreams.	他の人が何を考えても関係ない、自分の夢を追いかけるべきだよ。	ほかのひとがなにをかんがえてもかんけいない、じぶんのゆめをおいかけるべきだよ。
9028	What's (Noun) like?	何がどういうものか、どういう状態かを尋ねる表現	What's the weather like today?	今日は天気はどんな感じですか？	きょうはてんきはどんなかんじですか?
9029	What's it like 〜ing?	〜しているとどんな感じですか？	What's it like working in a big city?	大都市で働くのはどんな感じですか？	だいとしではたらくのはどんなかんじですか?
9030	I'm thinking of (about) 〜	考えている、思いを巡らせている	I'm thinking about going on a vacation next month.	来月、休暇に行こうかと思っています。	らいげつ、きゅうかにいこうかとおもっています。
9031	I'm sick of 〜	～にうんざりしている	I'm sick of waiting for my turn in line.	私は列で自分の番を待っているのにうんざりしています。	わたしはれつでじぶんのばんをまっているのにうんざりしています。
9032	I can't stand 〜	我慢できない、耐えられない	I can't stand the noise from the construction next door.	隣の工事の音が我慢できない。	となりのこうじのおとががまんできない。
9033	I should've done 〜	〜すべきだったのに、〜しておくべきだったのに	I should've done my homework last night instead of playing video games.	昨夜、テレビゲームをする代わりに宿題をすればよかったのに。	さくや、てれびげーむをするかわりにしゅくだいをすればよかったのに。
9034	I could've done 〜	〜することができたのに	I could've done better on the exam if I had studied harder.	もしもっと勉強していたら、試験でもっと良い成績を取れたのに。	もしもっとべんきょうしていたら、しけんでもっとよいせいせきをとれたのに。
9035	I might have done 〜	〜したかもしれない、〜した可能性がある	I might have done better if I had studied harder.	もっと一生懸命勉強していたら、もっと良い結果が出たかもしれない。	もっといっしょうけんめいべんきょうしていたら、もっとよいけっかがでたかもしれない。
9036	Do you mind if I 〜	気にしますか、それとも気にしませんかの表現	Do you mind if I borrow your pen for a moment?	少しの間、あなたのペンを借りてもいいですか？	すこしのあいだ、あなたのぺんをかりてもいいですか?
9037	Is it okay if I 〜?	〜してもいいですか？	Is it okay if I borrow your pen for a moment?	ちょっとあなたのペンを借りてもいいですか？	ちょっとあなたのぺんをかりてもいいですか?
9039	That sounds like 〜	それは～のように聞こえます	That sounds like a great idea for our weekend plans.	それは私たちの週末の計画にとって素晴らしいアイデアのように聞こえます。	それはわたしたちのしゅうまつのけいかくにとってすばらしいあいであのようにきこえます。
9040	It seems like 〜	～のように見える、～のようだ	It seems like it's going to rain later today.	今日は後で雨が降りそうだ。	きょうはあとであめがふりそうだ。
9041	If I were you, I would 〜	もし私があなたなら、～するでしょう	If I were you, I would take that job offer without hesitation.	もし私があなたなら、その仕事のオファーをためらわずに受けるでしょう。	もしわたしがあなたなら、そのしごとのおふぁーをためらわずにうけるでしょう。
9042	I wonder (what/where)〜	私は（何/どこ）〜か不思議に思う	I wonder what time the meeting starts.	会議が何時に始まるのか不思議に思います。	かいぎがなんじにはじまるのかふしぎにおもいます。
9043	I wonder if 〜	～かどうか気になる、～ではないかと思う	I wonder if she knows about the surprise party we planned.	彼女が私たちが計画したサプライズパーティーについて知っているのか気になります。	かのじょがわたしたちがけいかくしたさぷらいずぱーてぃーについてしっているのかきになります。
9044	Would you like me to 〜?	〜をしてほしいですか？	Would you like me to help you with your homework?	宿題を手伝ってほしいですか？	しゅくだいをてつだってほしいですか?
9045	ask (person) to 〜	頼む、お願いする	I will ask John to help me with my homework.	ジョンに宿題を手伝ってもらうよう頼むつもりです。	じょんにしゅくだいをてつだってもらうようたのむつもりです。
9046	help (person) (to) 〜	助ける（人）〜するのを、助けるために	I can help you to finish your project by tomorrow.	明日までにプロジェクトを終わらせるのを手伝うことができるよ。	あすまでにぷろじぇくとをおわらせるのをてつだうことができるよ。
9047	help (person) with 〜	助ける、サポートする	I will help you with your homework after dinner.	夕食の後に、君の宿題を手伝うよ。	ゆうしょくのあとに、きみのしゅくだいをてつだうよ。
9048	tell (person) to 〜	（人）に～するように言う	Please tell John to call me when he gets home.	ジョンに帰ったら私に電話するように言ってください。	じょんにかえったらわたしにでんわするようにいってください。
9049	get (person) to 〜	（人）に～させる、（人）を～する気にさせる	I was able to get my friend to help me with my project.	友達をプロジェクトの手伝いをさせることができました。	ともだちをぷろじぇくとのてつだいをさせることができました。
9050	make (person) do	人に〜させる	I will make him do his homework before he plays video games.	彼がテレビゲームをする前に宿題をやらせるつもりです。	かれがてれびげーむをするまえにしゅくだいをやらせるつもりです。
9051	make me (adjective)	～にさせる、～をするようにする	Your kind words make me happy.	あなたの優しい言葉が私を幸せにしてくれます。	あなたのやさしいことばがわたしをしあわせにしてくれます。
9052	advise (person) to 〜	助言する、アドバイスをする	I would advise you to take a break and relax for a bit.	私は、少し休んでリラックスするようにアドバイスします。	わたしは、すこしやすんでりらっくすするようにあどばいすします。
9053	Let (person) do	（人）にやらせておく	Let him do what he wants; it's his life after all.	彼が望むことをやらせておきなさい。結局、彼の人生なのだから。	かれがのぞむことをやらせておきなさい。けっきょく、かれのじんせいなのだから。
9054	allow (person) to 〜	許可する、認める	I will allow you to go to the party if you finish your homework.	宿題を終わらせたら、パーティーに行くのを許可します。	しゅくだいをおわらせたら、ぱーてぃーにいくのをきょかします。
9055	enable (person) to 〜	可能にする、（人）が〜できるようにする	The new software will enable users to complete their tasks more efficiently.	その新しいソフトウェアは、ユーザーがタスクをより効率的に完了できるようにします。	そのあたらしいそふとうぇあは、ゆーざーがたすくをよりこうりつてきにかんりょうできるようにします。
9056	get (thing/object/material) (adjective)	取得する、手に入れる（物/対象/材料）、（形容詞）	I hope to get a new job that's exciting.	私は刺激的な新しい仕事が得られることを望んでいます。	わたしはしげきてきなあたらしいしごとがえられることをのぞんでいます。
9057	keep (thing/object/material) (adjective)	保つ、維持する	You should keep your room clean and organized.	部屋をきれいに整頓して保つべきです。	へやをきれいにせいとんしてたもつべきです。
9058	leave (thing/object/material) (adjective)	残す、去る（物/材料）、（形容詞）	Please leave your bags at the front desk.	荷物はフロントに置いておいてください。	にもつはふろんとにおいておいてください。
9059	put off	延期する、後回しにする、しり込みする	We had to put off the meeting until next week.	私たちは会議を来週まで延期しなければならなかった。	わたしたちはかいぎをらいしゅうまでえんきしなければならなかった。
9060	get a rain check	またの機会にする、延期する、雨天順延チケット（rain check）から来た表現	Sorry, I'm busy tonight. Can I get a rain check on dinner?	ごめん、今夜は忙しいんだ。夕食はまた今度にしてもいい？	ごめん、こんやはいそがしいんだ。ゆうしょくはまたこんどにしてもいい?
9061	false	間違い	The information provided was false and misleading.	提供された情報は虚偽であり、誤解を招くものでした。	ていきょうされたじょうほうはきょぎであり、ごかいをまねくものでした。
9062	academy	学院、専門学校	I decided to enroll in an art academy to improve my drawing skills.	絵の技術を向上させるために、アートアカデミーに入学することに決めました。	えのぎじゅつをこうじょうさせるために、あーとあかでみーににゅうがくすることにきめました。
9064	activity	活動、行動	Let's plan a fun activity for the weekend!	週末の楽しいアクティビティを計画しよう！	しゅうまつのたのしいあくてぃびてぃをけいかくしよう!
9065	addition	追加、加えること	In addition to that, we should consider everyone's opinions.	それに加えて、私たちは皆の意見も考慮すべきです。	それにくわえて、わたしたちはみなのいけんもこうりょすべきです。
9066	Africa	アフリカ、大陸の一つ	I really want to visit Africa and see all the amazing wildlife.	私はアフリカを訪れて、素晴らしい野生動物を見たいです。	わたしはあふりかをおとずれて、すばらしいやせいどうぶつをみたいです。
9067	air pollution	大気汚染	Air pollution is becoming a serious problem in cities around the world.	世界中の都市で大気汚染が深刻な問題になっています。	せかいじゅうのとしでたいきおせんがしんこくなもんだいになっています。
9068	album	アルバム、音楽や写真などの集まり	I just got the new album from my favorite band, and I've been listening to it all day!	お気に入りのバンドの新しいアルバムを手に入れたばかりで、今日はずっと聴いているよ！	おきにいりのばんどのあたらしいあるばむをてにいれたばかりで、きょうはずっときいているよ!
9069	ambulance	救急車	I heard the sirens of the ambulance as it rushed by.	救急車が急いで通り過ぎる音を聞いた。	きゅうきゅうしゃがいそいでとおりすぎるおとをきいた。
9070	America	アメリカ、合衆国	I've always wanted to visit America and see the Grand Canyon.	ずっとアメリカに行ってグランドキャニオンを見たいと思っていた。	ずっとあめりかにいってぐらんどきゃにおんをみたいとおもっていた。
9071	American	アメリカ人、アメリカの	She loves American music, especially jazz and blues.	彼女はアメリカの音楽、特にジャズとブルースが大好きです。	かのじょはあめりかのおんがく、とくにじゃずとぶるーすがだいすきです。
9072	amusement park	遊園地	We spent the whole day at the amusement park and had a blast riding all the roller coasters.	私たちは遊園地で一日中過ごして、全てのジェットコースターに乗って大いに楽しみしました。	わたしたちはゆうえんちでいちにちじゅうすごして、すべてのじぇっとこーすたーにのっておおいにたのしみしました。
9073	animation	アニメーション、動きのある画像	I love watching animation movies, especially the ones from Studio Ghibli.	スタジオジブリの映画を見るのが大好きです。	すたじおじぶりのえいがをみるのがだいすきです。
9074	anime	アニメ	I watched a really interesting anime over the weekend.	週末にとても面白いアニメを見ました。	しゅうまつにとてもおもしろいあにめをみました。
9075	April	4月、春の最初の月	April is my favorite month because the flowers start to bloom.	4月は私のお気に入りの月です。花が咲き始めるからです。	4がつはわたしのおきにいりのつきです。はながさきはじめるからです。
9076	artist	アーティスト、芸術家	My friend is a talented artist who paints beautiful landscapes.	私の友達は美しい風景を描く才能あるアーティストです。	わたしのともだちはうつくしいふうけいをえがくさいのうあるあーてぃすとです。
9077	Asia	アジア、大陸の一つ	I've always wanted to travel around Asia and explore its diverse cultures.	アジアを旅して、その多様な文化を探検したいと思っていました。	あじあをたびして、そのたようなぶんかをたんけんしたいとおもっていました。
9078	August	8月、夏の月	I'm really looking forward to my vacation in August.	8月の休暇をとても楽しみにしています。	8がつのきゅうかをとてもたのしみにしています。
9079	Australia	オーストラリア	I've always wanted to visit Australia and see the Great Barrier Reef.	ずっとオーストラリアを訪れて、大堡礁を見てみたいと思っていました。	ずっとおーすとらりあをおとずれて、だいほしょうをみてみたいとおもっていました。
9080	balloon	風船	The kids were excited to see the colorful balloon float up into the sky.	子供たちはカラフルな風船が空に浮かぶのを見てワクワクしていました。	こどもたちはからふるなふうせんがそらにうかぶのをみてわくわくしていました。
9081	bamboo	竹、竹製品	I love watching pandas munch on bamboo at the zoo.	動物園でパンダが竹を食べるのを見るのが大好きです。	どうぶつえんでぱんだがたけをたべるのをみるのがだいすきです。
9082	banana	バナナ、果物の一種	I like to have a banana with my breakfast every morning.	毎朝の朝食にバナナを食べるのが好きです。	まいあさのちょうしょくにばななをたべるのがすきです。
9083	barrier	障壁、障害物	There's a barrier between the two countries that stops people from crossing.	その二つの国の間には人々が越えるのを妨げる障壁があります。	そのふたつのくにのあいだにはひとびとがこえるのをさまたげるしょうへきがあります。
9084	bat	コウモリ、バット（野球のバット）	I saw a bat flying around the park last night.	昨夜、公園でコウモリが飛んでいるのを見ました。	さくや、こうえんでこうもりがとんでいるのをみました。
9085	beef	牛肉、肉料理	I'm in the mood for a juicy beef steak tonight.	今夜はジューシーなビーフステーキが食べたい気分です。	こんやはじゅーしーなびーふすてーきがたべたいきぶんです。
9086	bench	ベンチ、長椅子	We sat on the bench in the park and enjoyed the sunshine.	公園のベンチに座って日差しを楽しみました。	こうえんのべんちにすわってひざしをたのしみました。
9087	bike	自転車	I love riding my bike around the park on weekends.	週末に公園を自転車で走るのが大好きです。	しゅうまつにこうえんをじてんしゃではしるのがだいすきです。
9088	billion	10億、非常に多くの数	There are more than a billion stars in our galaxy.	私たちの銀河には10億以上の星があります。	わたしたちのぎんがには10おくいじょうのほしがあります。
9089	birthday	誕生日	I can't wait to celebrate my birthday with all my friends!	友達と一緒に誕生日を祝うのが待ちきれない！	ともだちといっしょにたんじょうびをいわうのがまちきれない!
9090	blackboard	黒板、教室で使う黒色の板	The teacher wrote the homework assignment on the blackboard.	先生は黒板に宿題の課題を書きました。	せんせいはこくばんにしゅくだいのかだいをかきました。
9091	blog	ブログ、ウェブ上の日記や情報発信の場	I love reading travel blogs to get new ideas for my next trip.	次の旅行のアイデアを得るために、旅行ブログを読むのが大好きです。	つぎのりょこうのあいであをえるために、りょこうぶろぐをよむのがだいすきです。
9092	blossom	花が咲く、開花する	The cherry trees blossom beautifully in spring.	春には桜の木が美しく花が咲きます。	はるにはさくらのきがうつくしくはながさきます。
9093	blueberry	ブルーベリー	I love adding fresh blueberries to my morning pancakes.	朝食のパンケーキに新鮮なブルーベリーを加えるのが大好きです。	ちょうしょくのぱんけーきにしんせんなぶるーべりーをくわえるのがだいすきです。
9094	bomb	爆弾、爆発物	The military used a controlled bomb to demolish the old building.	軍は古い建物を壊すために制御された爆弾を使いました。	ぐんはふるいたてものをこわすためにせいぎょされたばくだんをつかいました。
9095	bookcase	本棚	I finally organized my bookcase, and now it looks amazing!	本棚をようやく整理して、今は素晴らしい見た目です！	ほんだなをようやくせいりして、いまはすばらしいみためです!
9097	Brazil	ブラジル、南アメリカの国	I've always wanted to visit Brazil and see the Carnival.	私はずっとブラジルに行ってカーニバルを見たいと思っている。	わたしはずっとぶらじるにいってかーにばるをみたいとおもっている。
9098	brightness	明るさ、輝き	The brightness of the sun in the morning always lifts my spirits.	朝の太陽の明るさはいつも私の気分を上げてくれます。	あさのたいようのあかるさはいつもわたしのきぶんをあげてくれます。
9099	British	イギリスの、イギリス人の	I met a British traveler who told me amazing stories about his adventures.	イギリスの旅行者に出会って、彼の冒険についての素晴らしい話を聞きました。	いぎりすのりょこうしゃにであって、かれのぼうけんについてのすばらしいはなしをききました。
9100	bubble	泡、気泡、バブル	The kids were having so much fun blowing bubbles in the backyard.	子供たちは裏庭で泡を吹いて遊ぶのがとても楽しかった。	こどもたちはうらにわであわをふいてあそぶのがとてもたのしかった。
9101	builder	建設業者、建物を作る人	My brother works as a builder, and he loves creating new houses.	私の兄は建設業者として働いていて、新しい家を作るのが大好きです。	わたしのあにはけんせつぎょうしゃとしてはたらいていて、あたらしいいえをつくるのがだいすきです。
9102	building	建物、建築物	I love how tall that building is in the city center.	街の中心にあるあの建物の高さが気に入っています。	まちのちゅうしんにあるあのたてもののたかさがきにいっています。
9103	buzzer	ブザー、警告音を発する装置	I heard the buzzer go off when I accidentally opened the wrong door.	間違ったドアを開けたときにブザーが鳴ったのを聞きました。	まちがったどあをあけたときにぶざーがなったのをききました。
9104	cacao	カカオ、主にチョコレートを作るための種子	I love making hot chocolate with pure cacao.	私は純粋なカカオを使ってホットチョコレートを作るのが大好きです。	わたしはじゅんすいなかかおをつかってほっとちょこれーとをつくるのがだいすきです。
9105	calendar	カレンダー、日付を示すための道具やシステム	I marked my birthday on the calendar so I wouldn't forget.	誕生日を忘れないようにカレンダーに印を付けました。	たんじょうびをわすれないようにかれんだーにしるしをつけました。
9106	calligraphy	書道、芸術的な文字の書き方	I've started practicing calligraphy, and it's really relaxing!	書道を練習し始めたんだけど、すごくリラックスできるよ！	しょどうをれんしゅうしはじめたんだけど、すごくりらっくすできるよ!
9107	Cambodia	カンボジア、東南アジアの国	I visited Cambodia last summer and it was amazing!	昨夏、カンボジアを訪れたら素晴らしかった！	さくか、かんぼじあをおとずれたらすばらしかった!
9108	Canada	カナダ	I've always wanted to visit Canada in the summer.	夏にカナダを訪れたいと思っていました。	なつにかなだをおとずれたいとおもっていました。
9109	Canberra	キャンベラ（オーストラリアの首都）	Have you ever been to Canberra?	キャンベラに行ったことがありますか？	きゃんべらにいったことがありますか?
9110	cardboard	段ボール	I used a piece of cardboard to make a homemade sign for the party.	パーティーのために手作りのサインを作るのに段ボールを使った。	ぱーてぃーのためにてづくりのさいんをつくるのにだんぼーるをつかった。
9111	career	キャリア、職業、経歴	I'm really excited about my career in marketing.	マーケティングのキャリアにとてもワクワクしています。	まーけてぃんぐのきゃりあにとてもわくわくしています。
9112	carpenter	大工、木工職人	My brother is a carpenter, and he makes really beautiful furniture.	私の兄は大工で、彼は本当に美しい家具を作ります。	わたしのあにはだいくで、かれはほんとうにうつくしいかぐをつくります。
9113	carport	車のポート、車を駐車するための屋根付きスペース	I parked my car in the carport to keep it safe from the rain.	雨から守るために車をカーポートに停めました。	あめからまもるためにくるまをかーぽーとにとめました。
9114	carrot	にんじん	I love munching on crunchy carrots as a snack!	サクサクのにんじんをおやつとして食べるのが大好きです！	さくさくのにんじんをおやつとしてたべるのがだいすきです!
9115	catalog	カタログ、目録	I received a catalog in the mail, and it had all the latest gadgets.	郵便でカタログを受け取ったんだけど、最新のガジェットが全部載ってたよ。	ゆうびんでかたろぐをうけとったんだけど、さいしんのがじぇっとがぜんぶのってたよ。
9117	cell phone	携帯電話	I always keep my cell phone on silent during class.	授業中はいつも携帯電話をサイレントモードにしています。	じゅぎょうちゅうはいつもけいたいでんわをさいれんともーどにしています。
9118	champion	チャンピオン、勝者	She became the champion of the tennis tournament this year.	彼女は今年のテニス大会のチャンピオンになりました。	かのじょはことしのてにすたいかいのちゃんぴおんになりました。
9119	championship	選手権、チャンピオンの称号を争う大会	We worked really hard all season to make it to the championship game.	私たちはシーズン中ずっと頑張って、選手権の試合に進出しました。	わたしたちはしーずんちゅうずっとがんばって、せんしゅけんのしあいにしんしゅつしました。
9120	charity	慈善、慈善事業	They organized a charity event to help homeless people in the city.	彼らは街のホームレスを助けるために慈善イベントを企画しました。	かれらはまちのほーむれすをたすけるためにじぜんいべんとをきかくしました。
9121	chart	図表、グラフ	Can you look at this chart and tell me what you think?	この図表を見て、どう思うか教えてもらえますか？	このずひょうをみて、どうおもうかおしえてもらえますか?
9122	cheeseburger	チーズバーガー	I can't resist a juicy cheeseburger on a Friday night.	金曜日の夜にはジューシーなチーズバーガーに勝てない。	きんようびのよるにはじゅーしーなちーずばーがーにかてない。
9123	chef	シェフ、料理長	My friend works as a chef at a fancy restaurant downtown.	友達はダウンタウンの高級レストランでシェフとして働いています。	ともだちはだうんたうんのこうきゅうれすとらんでしぇふとしてはたらいています。
9124	cherry	桜、チェリー（果物）	I love picking fresh cherries from the tree in summer.	私は夏に木から新鮮なチェリーを摘むのが大好きです。	わたしはなつにきからしんせんなちぇりーをつむのがだいすきです。
9125	cherry blossom	桜の花	The cherry blossoms are so beautiful in spring!	春には桜の花がとても美しいです！	はるにはさくらのはながとてもうつくしいです!
9126	chess	チェス、将棋の一種	I love playing chess with my friends on the weekends.	週末に友達とチェスをするのが大好きです。	しゅうまつにともだちとちぇすをするのがだいすきです。
9127	China	中国	I've always wanted to visit China and see the Great Wall.	私はずっと中国を訪れて万里の長城を見たいと思っていました。	わたしはずっとちゅうごくをおとずれてばんりのちょうじょうをみたいとおもっていました。
9128	Chinese	中国の、中国語の	I love trying different Chinese dishes at restaurants.	レストランでさまざまな中国料理を試すのが大好きです。	れすとらんでさまざまなちゅうごくりょうりをためすのがだいすきです。
9129	chocolate	チョコレート、甘いお菓子	I can't resist a piece of chocolate after dinner.	夕食の後にチョコレートを一つ食べるのには抵抗できない。	ゆうしょくのあとにちょこれーとをひとつたべるのにはていこうできない。
9130	chorus	合唱、合唱団	The kids sang the chorus beautifully during the school play.	子供たちは学校の劇で合唱を美しく歌いました。	こどもたちはがっこうのげきでがっしょうをうつくしくうたいました。
9131	Christmas	クリスマス	I can't wait to celebrate Christmas with my family this year!	今年は家族とクリスマスを祝うのが待ちきれない！	ことしはかぞくとくりすますをいわうのがまちきれない!
9132	classmate	同級生、クラスメート	My classmate and I teamed up to work on the project together.	私のクラスメートと一緒にプロジェクトに取り組みました。	わたしのくらすめーとといっしょにぷろじぇくとにとりくみました。
9133	classroom	教室	The classroom was filled with excited students ready to learn.	教室は学ぶ準備のできた興奮した生徒たちでいっぱいだった。	きょうしつはまなぶじゅんびのできたこうふんしたせいとたちでいっぱいだった。
9135	coach	コーチ、指導者	My basketball coach always pushes me to do my best.	私のバスケットボールのコーチは、いつも私にベストを尽くすように励ましてくれます。	わたしのばすけっとぼーるのこーちは、いつもわたしにべすとをつくすようにはげましてくれます。
9136	cola	コーラ	I love to drink cola with my pizza.	ピザと一緒にコーラを飲むのが大好きです。	ぴざといっしょにこーらをのむのがだいすきです。
9137	comic	マンガ、コミック、面白いこと	I love reading comic books on the weekends.	週末にマンガを読むのが大好きです。	しゅうまつにまんがをよむのがだいすきです。
9138	comment	コメント、意見	I really appreciate your comment on my post—it made my day!	あなたの投稿に対するコメント、本当にありがとう！それが私の一日を素晴らしいものにしてくれたよ！	あなたのとうこうにたいするこめんと、ほんとうにありがとう!それがわたしのついたちをすばらしいものにしてくれたよ!
9139	communication	コミュニケーション、意思疎通	Good communication is the key to a successful relationship.	良いコミュニケーションは成功する関係の鍵です。	よいこみゅにけーしょんはせいこうするかんけいのかぎです。
9140	conditioner	ヘアコンディショナー、髪を柔らかくするための製品	I always use a good conditioner after shampooing to keep my hair silky smooth.	シャンプーの後、髪をつるつるに保つために良いコンディショナーをいつも使います。	しゃんぷーのあと、かみをつるつるにたもつためによいこんでぃしょなーをいつもつかいます。
9141	condominium	分譲マンション、集合住宅	I just bought a cozy condominium downtown.	都心にある居心地の良い分譲マンションを買いました。	としんにあるいごこちのよいぶんじょうまんしょんをかいました。
9142	convenience store	コンビニエンスストア、便利なお店	I stopped by the convenience store to grab some snacks for the movie.	映画のためにお菓子を買うためにコンビニエンスストアに立ち寄った。	えいがのためにおかしをかうためにこんびにえんすすとあにたちよった。
9143	cooking	料理、料理をすること	I love cooking new recipes on the weekends.	週末には新しいレシピを料理するのが大好きです。	しゅうまつにはあたらしいれしぴをりょうりするのがだいすきです。
9144	costume	衣装、特に特別なイベントや祭りのための衣服	I'm going to wear a superhero costume to the party this weekend.	今週末のパーティーにはスーパーヒーローの衣装を着ていくつもりです。	こんしゅうまつのぱーてぃーにはすーぱーひーろーのいしょうをきていくつもりです。
9145	cracker	クラッカー、軽食用の薄いビスケット	I love having cheese with my cracker when I watch a movie.	映画を観るとき、クラッカーにチーズをのせて食べるのが大好きです。	えいがをみるとき、くらっかーにちーずをのせてたべるのがだいすきです。
9146	craftsperson	職人、技能を持った人	My neighbor is a talented craftsperson who makes beautiful furniture.	私の隣人は、美しい家具を作る才能ある職人です。	わたしのりんじんは、うつくしいかぐをつくるさいのうあるしょくにんです。
9147	crane	鶴、建設機械のクレーン	I saw a beautiful crane flying over the lake yesterday.	昨日、湖の上を飛んでいる美しい鶴を見ました。	きのう、みずうみのうえをとんでいるうつくしいつるをみました。
9148	curry	カレー、スパイスを使った料理	I love eating curry on a rainy day.	雨の日にはカレーを食べるのが大好きです。	あめのひにはかれーをたべるのがだいすきです。
9149	cycling	サイクリング、自転車に乗ること	I love cycling on the weekends to relax and enjoy the fresh air.	週末にリラックスして新鮮な空気を楽しむためにサイクリングをするのが大好きです。	しゅうまつにりらっくすしてしんせんなくうきをたのしむためにさいくりんぐをするのがだいすきです。
9150	dad	お父さん、父親	My dad is the coolest person I know.	私のお父さんは、私が知っている中で一番かっこいい人です。	わたしのおとうさんは、わたしがしっているなかでいちばんかっこいいひとです。
9151	dancer	ダンサー、踊る人	She was an amazing dancer and could perform any style beautifully.	彼女は素晴らしいダンサーで、どんなスタイルでも美しく踊ることができました。	かのじょはすばらしいだんさーで、どんなすたいるでもうつくしくおどることができました。
9152	day-at-work program	職場での体験プログラム	I signed up for a day-at-work program to see what it's like to be an engineer.	エンジニアがどんな仕事をするのかを見るために、職場での体験プログラムに申し込みました。	えんじにあがどんなしごとをするのかをみるために、しょくばでのたいけんぷろぐらむにもうしこみました。
9153	decade	10年間、10年の期間	It's hard to believe that a whole decade has passed since we graduated from high school.	私たちが高校を卒業してから10年も経ったなんて信じられない。	わたしたちがこうこうをそつぎょうしてから10ねんもたったなんてしんじられない。
9154	December	12月、年の最後の月	I love the festive atmosphere in December.	私は12月の祝祭的な雰囲気が大好きです。	わたしは12がつのしゅくさいてきなふんいきがだいすきです。
9155	degree(s) Celsius	摂氏度	It's around 25 degrees Celsius today, perfect for a picnic!	今日は摂氏25度くらいで、ピクニックには最適だね！	きょうはせっし25どくらいで、ぴくにっくにはさいてきだね!
9156	democracy	民主主義	In a democracy, everyone has a say in how the government is run.	民主主義では、誰もが政府の運営方法について意見を言うことができます。	みんしゅしゅぎでは、だれもがせいふのうんえいほうほうについていけんをいうことができます。
9157	developing country	発展途上国	Many people are working hard to improve living conditions in developing countries.	多くの人々が発展途上国の生活条件を改善するために懸命に働いています。	おおくのひとびとがはってんとじょうこくのせいかつじょうけんをかいぜんするためにけんめいにはたらいています。
9158	diary	日記	I always write in my diary before going to bed.	寝る前にいつも日記に書きます。	ねるまえにいつもにっきにかきます。
9159	dining	食事をすること、特に正式な食事	We're going out for dining at that new Italian restaurant tonight.	今夜、新しいイタリアンレストランで食事に出かけるよ。	こんや、あたらしいいたりあんれすとらんでしょくじにでかけるよ。
9160	dinosaur	恐竜	When I was a kid, I was so fascinated by dinosaurs that I had a whole collection of toy dinosaurs.	子供の頃、恐竜に夢中で、恐竜の玩具を全部集めていたんだ。	こどものころ、きょうりゅうにむちゅうで、きょうりゅうのがんぐをぜんぶあつめていたんだ。
9161	disaster	災害、悲劇的な出来事	The earthquake was such a disaster that it left the whole city in ruins.	その地震は非常に大きな災害で、街全体が廃墟になってしまった。	そのじしんはひじょうにおおきなさいがいで、まちぜんたいがはいきょになってしまった。
9162	discount	割引、値引き	I got a 20% discount on my new shoes!	新しい靴を20%割引で手に入れたよ！	あたらしいくつを20%わりびきでてにいれたよ!
