id	word	definition_en	definition_ja	example_en	example_ja	kana	level	grouping	similar_ids
7578	unaware	not knowing about something or not noticing it	気づいていない	He was unaware of the fact.	彼はその事実に気づいていなかった。	かれはそのじじつにきづいていなかった。	2	2	8684,12228,5447,5821,4688,13905,14116,8765,7242,6198
7579	faithfully	in a loyal or dependable manner; consistently and accurately	忠実に、誠実に	He followed the company's policy faithfully.	彼は会社の方針に忠実に従った。	かれはかいしゃのほうしんにちゅうじつにしたがった。	2	0	13554,7114,12291,7212,7253,13975,10793,14476,6220,2963
7580	flourish	to grow, develop, or be successful	繁栄する、栄える	The city flourished through trade.	その都市は貿易によって繁栄した。	そのとしはぼうえきによってはんえいした。	2	1	6289,1013,7508,6973,6633,1779,4829,10007,3819,4861
7581	accomplishment	something successfully completed or achieved	達成、業績	His greatest accomplishment is the development of a new drug.	彼の最大の業績は新薬の開発だ。	かれのさいだいのぎょうせきはしんやくのかいはつだ。	1	3	6802,4223,10964,11916,12318,6783,5572,3951,9689,453
7582	diligent	showing careful and persistent effort in work or duties	勤勉な	He is a diligent student.	彼は勤勉な学生だ。	かれはきんべんながくせいだ。	2	3	3482,3460,7994,13715,7520,7452,4771,4059,4793,5153
7583	sludge	thick, muddy, or viscous matter, often a waste or residue	ヘドロ、泥状物質	The factory's wastewater caused sludge to accumulate in the river.	工場からの廃水が川にヘドロを堆積させた。	こうじょうからのはいすいがかわにへどろをたいせきさせた。	2	2	2504,14449,10220,372,5102,7413,4967,7650,13408,3620
7584	contingency	a future possibility or unforeseen event that might happen	不測の事態、偶発事態	The company has an emergency plan in place for any contingency.	会社は不測の事態に備えて緊急プランを用意している。	かいしゃはふそくのじたいにそなえてきんきゅうぷらんをよういしている。	2	0	10218,5773,11813,4966,12386,10764,12806,7109,2529,3802
7585	registry	an official list or record of items, events, or individuals	登録簿、記録簿	His marriage was officially recorded in the city registry.	彼の結婚は正式に市の登録簿に記録された。	かれのけっこんはせいしきにしのとうろくぼにきろくされた。	2	4	143,9115,5884,11292,10556,3895,9908,8262,11326,365
7586	acumen	keen insight or sharpness in judgment, especially in a particular domain	鋭い洞察力、判断力	His business acumen greatly contributed to the company's growth.	彼のビジネスの洞察力は会社の成長に大いに貢献した。	かれのびじねすのどうさつりょくはかいしゃのせいちょうにおおいにこうけんした。	2	3	4291,6967,6978,14407,13419,13737,5320,11108,13971,10351
7587	wrangle	to have a long and complicated argument or quarrel	口論する、論争する	The two politicians wrangled fiercely over the policy.	二人の政治家は政策について激しく口論した。	ふたりのせいじかはせいさくについてはげしくこうろんした。	2	1	8030,5005,8941,7806,7006,228,7360,4865,7708,6596
7588	associate A with B	to connect or link one thing (A) with another (B), often in a mental or logical way	AをBと関連付ける	Many people associate coffee with waking up in the morning.	多くの人はコーヒーを朝の目覚めと関連付ける。	おおくのひとはこーひーをあさのめざめとかんれんづける。	1	1	7433,8739,14226,1791,1999,11260,10177,1256,3166,8747
7589	anarchy	a state of disorder due to absence or non-recognition of authority or government	無政府状態、混乱	After the collapse of the government, the country fell into anarchy.	政府の崩壊後、その国は無政府状態に陥った。	せいふのほうかいご、そのくにはむせいふじょうたいにおちいった。	2	2	8787,2660,10691,6631,10614,8731,5251,8553,7174,14047
7590	labyrinth	a complicated network of winding passages or paths; a maze	迷宮、複雑なもの	This museum is like a vast labyrinth.	この博物館はまるで迷宮のように広い。	このはくぶつかんはまるでめいきゅうのようにひろい。	2	4	3607,4270,5432,12098,13510,8138,5102,7813,2402,10098
7591	let A go	to allow someone to leave or escape; to release	Aを解雇する、Aを解放する	The company had to let many employees go due to the poor economy.	会社は経済状況の悪化により多くの従業員を解雇した。	かいしゃはけいざいじょうきょうのあっかによりおおくのじゅうぎょういんをかいこした。	1	1	3691,6469,9857,7571,12440,6690,11169,9053,12107,292
7592	smother	to suffocate or kill someone by covering their mouth and nose; also, to suppress or cover up feelings or actions	窒息させる、覆い尽くす	He smothered the fire with a blanket.	彼は毛布で火を覆い、消火した。	かれはもうふでひをおおい、しょうかした。	2	1	4269,4376,14497,2676,7636,3243,3215,7200,5420,4155
7593	diffusion	the process of spreading something more widely or thinly; the act of dispersing or scattering	拡散、広がり	The diffusion of new technology takes time.	新技術の普及には時間がかかる。	しんぎじゅつのふきゅうにはじかんがかかる。	2	1	13559,13232,11569,12079,7671,7223,4909,1120,4452,10322
7594	blight	a disease that causes plants to wither; or a condition that damages or destroys something	病害、損害を与えるもの	The region's economy suffered a severe blight due to the recession.	その地域の経済は不況によって深刻な打撃を受けた。	そのちいきのけいざいはふきょうによってしんこくなだげきをうけた。	2	2	13230,1912,8662,4420,4995,11040,13520,2341,2644,1687
7595	foyer	an entrance hall or open area inside a building	玄関ホール、ロビー	There was a luxurious chandelier in the hotel foyer.	ホテルのロビーには豪華なシャンデリアがあった。	ほてるのろびーにはごうかなしゃんでりあがあった。	2	4	8940,2516,9250,1741,12455,957,950,12312,9410,1507
7596	subversive	intended to weaken or overthrow an established system or authority	破壊的な、反体制的な	The government cracked down on subversive group activities.	政府は反体制的なグループの活動を取り締まった。	せいふははんたいせいてきなぐるーぷのかつどうをとりしまった。	2	2	5524,5932,8366,7174,7136,5470,5251,12983,7487,7566
7597	impediment	a hindrance or obstacle that makes progress difficult	障害、妨げ	He has a slight speech impediment.	彼の話し方にはわずかな言語障害がある。	かれのはなしかたにはわずかなげんごしょうがいがある。	2	2	7773,6034,2494,4821,8923,9083,12176,6968,1551,789
7598	pawn	a person who is used by others for their own purposes, or something given as security for a loan that may be sold if the loan is not repaid	質に入れる、駒、手先	He pawned his watch because he needed money.	彼は金に困り、時計を質に入れた。	かれはかねにこまり、とけいをしつにいれた。	2	4	13536,4834,962,5128,4001,10718,2152,4264,7192,10270
7599	payroll	the list of a company's employees and the amount of money they are to be paid	給与総額、給与名簿	The company's payroll has been increasing every year.	この会社の給与総額は年々増加している。	このかいしゃのきゅうよそうがくはねんねんぞうかしている。	1	4	1903,14288,822,12726,8275,10022,5195,12203,13898,3461
7600	quirk	a peculiar trait or behavior that is different from what is normal or expected	奇癖、特異な点	He has a unique quirk in the way he speaks.	彼の話し方には独特の癖がある。	かれのはなしかたにはどくとくのくせがある。	2	2	3590,3432,7029,7614,2098,7824,11427,13435,1151,11002
7601	curfew	an official restriction requiring people to remain indoors during certain hours, typically at night	門限、夜間外出禁止令	The government imposed a curfew due to the riots.	政府は暴動の影響で夜間外出禁止令を発令した。	せいふはぼうどうのえいきょうでやかんがいしゅつきんしれいをはつれいした。	2	4	9756,4913,8743,10768,5479,4155,6739,8488,12780,10073
7602	pamper	to treat someone with excessive kindness or care, often to the point of indulgence	甘やかす、贅沢をさせる	She pampered herself with a spa treatment as a reward.	彼女は自分へのご褒美としてスパで贅沢した。	かのじょはじぶんへのごほうびとしてすぱでぜいたくした。	2	1	3030,12215,8228,3602,6915,2682,3020,2825,7822,7780
7603	stoke	to add fuel to a fire or to encourage or foster something, such as feelings or activities	かき立てる、燃料をくべる	His words stoked people's anger.	彼の言葉は人々の怒りをかき立てた。	かれのことばはひとびとのいかりをかきたてた。	2	1	3599,10786,4750,6093,8863,4828,10753,5942,5293,2879
7604	at hand	available or nearby; close at the moment	手元に、差し迫って	The deadline is at hand.	締め切りが間近に迫っている。	しめきりがまじかにせまっている。	1	0	2954,10165,10996,4077,9848,2371,5753,179,6761,1363
7605	disintegration	the process of breaking apart into small pieces or losing cohesion	崩壊、分解	The empire fell apart due to internal disintegration.	その帝国は内部の対立によって崩壊した。	そのていこくはないぶのたいりつによってほうかいした。	2	2	13192,5074,8722,3862,12295,8368,1072,2042,14031,4479
7606	impasse	a situation in which no progress is possible, often because of disagreement	行き詰まり、袋小路	The negotiations reached an impasse.	交渉は完全に行き詰まった。	こうしょうはかんぜんにいきづまった。	2	2	3172,7439,8611,7773,4604,9083,5327,11523,6271,11524
7607	rendition	a performance or interpretation of a song, role, or piece of work	演奏、翻訳、送還	His rendition of the piano piece was moving.	彼のピアノ演奏は感動的だった。	かれのぴあのえんそうはかんどうてきだった。	2	4	768,9891,12631,5904,10424,1930,10725,12241,9189,6465
7608	persecute	to treat someone unfairly or cruelly, often because of their beliefs or race	迫害する、苦しめる	Religious minorities are being persecuted.	宗教的少数派が迫害を受けている。	しゅうきょうてきしょうすうはがはくがいをうけている。	2	2	7780,8960,8371,10143,3871,11172,13304,2682,7405,14166
7609	bounty	a reward or payment for capturing or killing a person or animal, or a generous amount of something	報奨金、豊富さ	The government placed a bounty on the criminal's capture.	政府は犯罪者の逮捕に賞金をかけた。	せいふははんざいしゃのたいほにしょうきんをかけた。	2	4	6834,11275,2196,10693,7707,5683,5412,1156,7975,6895
7610	hindsight	the ability to understand and realize something after it has happened	後知恵、振り返っての理解	In hindsight, I should have made a different choice.	後になって考えると、別の選択をすべきだった。	あとになってかんがえると、べつのせんたくをすべきだった。	2	3	3758,10239,11991,4658,11108,10590,11836,7233,345,7435
7611	avatar	a person or thing that represents or embodies a particular idea or quality, or a digital image used to represent a user	化身、分身	He created a unique avatar in the online game.	彼はオンラインゲームでユニークなアバターを作成した。	かれはおんらいんげーむでゆにーくなあばたーをさくせいした。	2	4	11048,5607,9271,6867,6514,9318,11460,10554,3183,13037
7612	brat	a child, typically a badly behaved one	がき、わがままな子供	He is a spoiled brat.	彼は甘やかされたわがままな子供だ。	かれはあまやかされたわがままなこどもだ。	2	2	4404,3912,2791,841,2931,2583,13231,10669,7913,2191
7613	procurement	the process of obtaining or acquiring something, especially for official purposes	調達、獲得	The government is working on the procurement of new weapons.	政府は新しい兵器の調達を進めている。	せいふはあたらしいへいきのちょうたつをすすめている。	2	4	3181,3747,9799,12032,4234,11376,10156,11571,5690,503
7614	aberration	a departure from what is normal or expected, often indicating a defect or abnormality	逸脱、異常	This cold weather is an aberration for this season.	この寒さはこの時期としては異常だ。	このさむさはこのじきとしてはいじょうだ。	2	2	7824,13435,7600,3128,12368,3432,11002,11915,13896,5970
7615	backlash	a strong negative reaction to something	反発、反動	The decision caused a strong public backlash.	その決定は国民の強い反発を招いた。	そのけっていはこくみんのつよいはんぱつをまねいた。	2	2	14536,12,6752,13634,7659,8089,8324,6325,4979,13743
7616	euphoria	a feeling or state of intense happiness and excitement	幸福感、高揚感	He felt a sense of euphoria when he passed the exam.	試験に合格したとき、彼は最高の幸福感を味わった。	しけんにごうかくしたとき、かれはさいこうのこうふくかんをあじわった。	2	3	8648,7345,2934,1268,23,1027,10169,10384,3539,9253
7617	end up	to finally arrive at a particular place or situation, often unexpectedly or after a series of events	結局〜になる	He worked hard but ended up failing.	彼は努力したが、結局は失敗に終わった。	かれはどりょくしたが、けっきょくはしっぱいにおわった。	1	1	5255,3343,11984,11415,10047,8602,4751,2574,11877,476
7618	eligibility	the state of being qualified or entitled to do or have something	資格、適格性	He has the eligibility for the scholarship.	彼は奨学金を受ける資格がある。	かれはしょうがくきんをうけるしかくがある。	2	3	4573,10250,13778,11067,11593,6648,11107,3224,7300,12027
7619	sewage	wastewater and excrement conveyed in sewers	下水、汚水	The sewage treatment plant cleans the water in this area.	下水処理施設がこの地域の水をきれいにしている。	げすいしょりしせつがこのちいきのみずをきれいにしている。	2	4	13147,3019,13627,4892,4464,2601,7621,14382,13194,14330
7620	dictum	a formal or authoritative statement or saying	格言、公式の声明	He believes in the dictum, \"Hard work pays off.\"	彼は「努力は報われる」という格言を信じている。	かれは「どりょくはむくわれる」というかくげんをしんじている。	2	4	3743,10151,4919,5931,5055,12743,4962,10105,8288,4378
7621	manure	digested or decomposed animal excrement used for fertilizing land	肥料、堆肥	The farmer spread organic manure on the fields.	農家は畑に有機肥料をまいた。	のうかははたけにゆうきひりょうをまいた。	2	4	8614,8658,3632,2601,14081,1414,13085,308,1941,1381
7622	populace	the general public; the people living in a particular area	民衆、大衆	The government's policies affect the general populace.	政府の政策は一般市民に影響を与える。	せいふのせいさくはいっぱんしみんにえいきょうをあたえる。	2	4	12427,8154,9973,1087,1009,12497,1573,739,13108,1624
7623	bedrock	the solid rock beneath the surface of the ground; figuratively, a fundamental principle or basis	基盤、根本	Trust is the bedrock of a healthy relationship.	信頼は健全な関係の基盤である。	しんらいはけんぜんなかんけいのきばんである。	2	4	383,2236,8958,5006,1558,8728,4287,6296,2268,522
7624	distance A from B	the amount of space between two points, A and B	AをBから遠ざける	He distanced himself from political issues.	彼は自分を政治問題から距離を置いた。	かれはじぶんをせいじもんだいからきょりをおいた。	1	0	11488,1728,1433,2153,12596,1644,13514,12527,160,1750
7625	centennial	relating to a hundredth anniversary or its celebration	100周年記念	The university celebrated its centennial anniversary.	大学は創立100周年を祝った。	だいがくはそうりつ100しゅうねんをいわった。	2	3	2621,612,10896,11162,10267,9089,6428,10090,13202,5421
7626	philanthropy	the desire to promote the welfare of others, often through generous donations to charities	慈善活動	He donates to many philanthropy projects.	彼は多くの慈善活動に寄付している。	かれはおおくのじぜんかつどうにきふしている。	2	3	5600,6770,12707,10233,10059,6832,7972,7295,4187,4285
7627	look into	to investigate or examine carefully	調査する	The police are looking into the case.	警察はその事件を詳しく調査している。	けいさつはそのじけんをくわしくちょうさしている。	1	1	6889,3276,2666,6583,1512,3851,2433,5014,10427,5813
7628	cynicism	an attitude characterized by a general distrust of others' motives or sincerity	冷笑、皮肉な考え	His words had a tone of cynicism.	彼の言葉には冷笑的なニュアンスがあった。	かれのことばにはれいしょうてきなにゅあんすがあった。	2	2	14303,6097,5525,14412,4277,13178,6265,12060,10957,8652
7629	mitigation	the act of making something less severe, serious, or painful	軽減、緩和	The government took measures for the mitigation of environmental damage.	政府は環境被害の軽減策を講じた。	せいふはかんきょうひがいのけいげんさくをこうじた。	2	2	4832,1754,1219,6072,408,8176,1396,8198,4031,6359
7630	morgue	a place where dead bodies are kept before burial or cremation	死体安置所	The body was identified at the morgue.	遺体は死体安置所で確認された。	いたいはしたいあんちしょでかくにんされた。	2	4	2490,8484,2190,5149,4096,9879,4729,1567,11395,11697
7631	pod	a long, narrow container or chamber; or a grouped cluster of certain animals such as whales or peas	さや、小さなグループ	When I opened the pea pod, I found small peas inside.	エンドウ豆のさやを開けると、中に小さな豆が入っていた。	えんどうまめのさやをあけると、なかにちいさなまめがはいっていた。	2	4	2679,1793,1413,2827,1452,2246,12740,10088,4600,5206
7632	leave off	to stop doing something or to discontinue an activity	やめる、中断する	He left off working in the middle.	彼は仕事を途中でやめた。	かれはしごとをとちゅうでやめた。	1	1	11835,9625,4840,12213,2847,11295,1629,445,1175,1896
7633	complexion	the natural color, texture, and appearance of a person's skin, especially of the face	顔色、肌の色、状況	She had a healthy complexion.	彼女は健康的な顔色をしていた。	かのじょはけんこうてきなかおいろをしていた。	2	3	6764,939,12080,167,599,3978,7901,9190,10409,13204
7634	tout	to promote something or someone aggressively or excessively	（人を）呼び込む、（物を）売り込む、大げさに宣伝する	He was touting his new product everywhere.	彼は自分の新製品をあちこちで売り込んでいた。	かれはじぶんのしんせいひんをあちこちでうりこんでいた。	2	1	5083,2825,3673,4123,8809,1532,4916,2879,13799,6915
7635	fiat	an official order or decree; a command	命令、許可、布告	The project was canceled by the president's fiat.	社長の命令でそのプロジェクトは中止になった。	しゃちょうのめいれいでそのぷろじぇくとはちゅうしになった。	2	4	4563,8288,4378,27,6994,4601,5590,11253,6081,3736
7636	quell	to put an end to, suppress, or quiet a disturbance or feeling	（騒ぎなどを）鎮める、（感情などを）抑える	The police came to quell the riot.	警察は暴動を鎮圧するためにやってきた。	けいさつはぼうどうをちんあつするためにやってきた。	2	1	4429,6228,8422,8753,5856,2676,8064,6163,4376,12213
7637	envoy	a messenger or representative, especially one on a diplomatic mission	使節、特使	He was sent as an envoy for peace negotiations.	彼は平和交渉のための特使として派遣された。	かれはへいわこうしょうのためのとくしとしてはけんされた。	2	4	2575,8305,6319,742,4116,5916,12535,2037,7192,13007
7638	fodder	food, especially dried hay or feed, for cattle and other livestock	飼料、家畜のえさ、材料	The news became fodder for gossip.	そのニュースはゴシップの材料となった。	そのにゅーすはごしっぷのざいりょうとなった。	2	4	1941,12459,942,13476,299,8090,2537,7905,5664,7883
7639	comptroller	an officer who manages financial accounts and expenditures, often in government or large organizations	会計監査官、会計検査官	He was hired as the company comptroller.	彼は会社の会計監査官として雇われた。	かれはかいしゃのかいけいかんさかんとしてやとわれた。	2	4	2326,7131,8380,7980,10342,6509,4380,4192,7056,454
7640	speaking of which	used to introduce a related topic or comment about the previous subject	そういえば、ところで	Speaking of which, how is your new job?	そういえば、君は新しい仕事はどう？	そういえば、きみはあたらしいしごとはどう?	1	0	13032,12947,3037,13006,11767,14126,12472,11930,2605,13049
7641	excise	a tax levied on certain goods produced or sold within a country, or on licenses for certain activities	（税を）課す、（不要なものを）取り除く	He excised the unnecessary parts from the text.	彼は文章から不要な部分を削除した。	かれはぶんしょうからふようなぶぶんをさくじょした。	2	4	4083,2101,12203,13641,4020,6005,11418,8446,5120,5748
7642	bank account	a financial account maintained by a bank for an individual or business, used for deposits, withdrawals, and financial transactions	銀行口座	I want to open a bank account.	私は銀行口座を開設したい。	わたしはぎんこうこうざをかいせつしたい。	1	4	4940,1716,11848,3512,10662,8192,7131,10886,10014,365
7643	punctuate	to insert punctuation marks into written language to clarify meaning	（文章に）句読点を打つ、中断する、強調する	His speech was punctuated by jokes.	彼のスピーチはジョークで時々中断された。	かれのすぴーちはじょーくでときどきちゅうだんされた。	2	1	13538,13912,7786,7658,7561,14195,4923,12047,7274,1054
7644	continuum	a continuous sequence or range of something that varies by minute degrees	連続体、連続するもの	Life is a continuum of experiences.	人生は経験の連続体である。	じんせいはけいけんのれんぞくたいである。	2	0	11204,1236,5730,2991,7163,6707,4497,11926,13387,10473
7645	hand out	to distribute or give something to several people	配る、分け与える	The teacher handed out the tests to the students.	先生は生徒たちにテストを配った。	せんせいはせいとたちにてすとをくばった。	1	1	7223,4897,8510,3178,11838,9955,504,10322,7681,13232
7646	diaper	a piece of soft material or a disposable absorbent garment worn by babies and disabled persons to absorb and contain urine and feces	おむつ	Please change the baby's diaper.	赤ちゃんにおむつを替えてあげてください。	あかちゃんにおむつをかえてあげてください。	2	4	1983,2181,643,14395,10525,1247,9515,14417,1040,1746
7647	wear off	to gradually diminish in effect or intensity over time	（効果などが）薄れる、すり減る	The effect of the medicine is starting to wear off.	薬の効果が切れてきた。	くすりのこうかがきれてきた。	1	1	5557,5521,2579,8872,4402,6354,8322,7959,8429,54
7648	ferment	to undergo fermentation; to cause fermentation or agitation; also, a state of agitation or excitement	発酵する、醸造する、動揺する	Let the bread dough ferment.	パン生地を発酵させる。	ぱんきじをはっこうさせる。	2	1	3544,7567,5176,13717,2369,2732,2703,8582,3997,4852
7649	pleading	the act of making an emotional or urgent request; requesting earnestly	嘆願、懇願、弁護	She entered a plea of not guilty in court.	彼女は裁判で無罪を嘆願した。	かのじょはさいばんでむざいをたんがんした。	1	1	4868,6135,4153,3200,11591,7562,214,819,8256,11564
7650	scum	a layer of dirt, froth, or impurities on the surface of a liquid, or a contemptible or worthless person	かす、あく、くず	There was scum floating on the surface of the lake.	湖の表面にはかすが浮いていた。	みずうみのひょうめんにはかすがういていた。	2	2	13191,7413,2504,8811,7583,277,8804,8160,5480,7244
7651	puncture	to make a small hole in something, especially in a tire or a similar object	（穴を）開ける、刺す	A nail punctured the tire.	釘でタイヤがパンクした。	くぎでたいやがぱんくした。	2	1	7396,8469,1569,4544,14431,9291,12131,9170,3262,11503
7652	fledgling	a young bird that has just learned to fly; also, a person or organization that is new and inexperienced	駆け出しの、未熟な、ひな鳥	He is still a fledgling actor.	彼はまだ駆け出しの俳優だ。	かれはまだかけだしのはいゆうだ。	2	4	3568,4130,14099,823,14052,1378,586,10366,1965,14307
7653	patriarch	the male head of a family or tribe; a founding father or leader of a group	家長、族長、始祖	The family follows his decisions as the patriarch.	その家族は彼の家長としての決定に従う。	そのかぞくはかれのかちょうとしてのけっていにしたがう。	2	4	12961,4098,1364,1950,9407,3856,2180,5205,2399,6454
7654	public official	a person who holds a position of authority or service in government or a public organization	公務員、公職者	He was a public official accused of corruption.	彼は汚職で告発された公務員だった。	かれはおしょくでこくはつされたこうむいんだった。	1	4	155,34,11337,9782,9871,13449,1209,5916,10071,11880
7655	mower	a machine or person that cuts grass or crops	芝刈り機	He mowed the lawn with a mower.	彼は庭の芝を芝刈り機で刈った。	かれはにわのしばをしばかりきでかった。	2	4	4203,14314,1997,821,135,369,7526,772,14009,7334
7656	compare A to B	to examine or look at two or more things in order to see how they are similar or different	AをBに例える、比較する	She compared his kindness to the warmth of the sun.	彼女は彼の優しさを太陽の暖かさに例えた。	かのじょはかれのやさしさをたいようのあたたかさにたとえた。	1	1	9984,1916,7710,1484,11574,2602,2273,3528,12333,10782
7657	iteration	the act of repeating a process or set of instructions, often with the aim of approaching a desired goal or result	反復、繰り返し	This software was developed through many iterations.	このソフトウェアは多くの反復を経て開発された。	このそふとうぇあはおおくのはんぷくをへてかいはつされた。	2	1	116,45,1857,6798,14244,13278,11612,1757,10279,13282
7658	paraphrase	to restate something using different words, often to make it clearer or easier to understand	言い換える、要約する	She paraphrased the difficult text into simpler words.	彼女は難しい文章をわかりやすく言い換えた。	かのじょはむずかしいぶんしょうをわかりやすくいいかえた。	2	1	3713,12994,13792,14195,2113,2760,10974,7217,13670,6395
7659	revulsion	a strong feeling of disgust or repulsion	嫌悪、反感	He felt a revulsion at the sight.	彼はその光景に嫌悪感を抱いた。	かれはそのこうけいにけんおかんをいだいた。	2	2	13634,13743,12,14319,8089,14536,8612,4979,4326,8324
7660	beacon	a signaling light or fire often used as a warning or guiding signal	かがり火、灯台、道しるべ	The lighthouse served as a beacon for ships in the dark.	灯台は暗闇の中で船の道しるべになった。	とうだいはくらやみのなかでふねのみちしるべになった。	2	4	10006,3902,1141,4002,7038,10647,6321,1417,2255,5634
7661	rectangle	a four-sided shape with opposite sides equal and four right angles	長方形	The table was in the shape of a rectangle.	テーブルは長方形の形をしていた。	てーぶるはちょうほうけいのかたちをしていた。	1	4	1213,2442,11698,12524,13729,13886,11957,2751,13790,12733
7662	tarnish	to make something less valuable or respected; also, a thin layer of corrosion that forms on metals like silver or bronze	（名誉などを）汚す、（金属などを）曇らせる	His reputation was tarnished by the scandal.	彼の評判はスキャンダルで汚された。	かれのひょうばんはすきゃんだるでよごされた。	2	1	2644,2404,5462,2375,5107,5352,12224,865,13873,4184
7663	defiance	open resistance or bold opposition to authority or fire	反抗、挑戦、無視	He showed defiance towards his parents' orders.	彼は親の命令に反抗した。	かれはおやのめいれいにはんこうした。	2	2	4745,7198,6236,8468,11649,1886,13983,414,2624,5251
7664	blister	a small bubble on the skin caused by friction or burns; can also refer to a raised area on a surface	水ぶくれ、まめ	I got blisters on my feet from wearing new shoes.	新しい靴を履いたら足に水ぶくれができた。	あたらしいくつをはいたらあしにみずぶくれができた。	2	4	13918,13159,6292,2514,10594,3004,123,5200,7685,2781
7665	chuckle	a quiet or suppressed laugh	くすくす笑う、喉を鳴らして笑う	He chuckled when he heard the joke.	彼はジョークを聞いてくすくす笑った。	かれはじょーくをきいてくすくすわらった。	2	2	8419,8010,1188,9720,14206,13506,13056,1729,3369,14297
7666	slick	smooth, slippery, or superficially attractive or convincing	滑りやすい、油を塗った、巧妙な	The floor was wet and slick.	床が濡れていて滑りやすかった。	ゆかがぬれていてすべりやすかった。	2	3	5308,14227,2776,10130,14185,5456,8620,8329,2434,6696
7667	herald	to announce or signal the coming of something or someone; also, a person who proclaims or publishes	告げる、予告する、先駆ける	The news heralded the beginning of a new era.	そのニュースは新しい時代の到来を告げた。	そのにゅーすはあたらしいじだいのとうらいをつげた。	2	1	7891,611,3236,7418,1956,5055,3018,10105,11737,2665
7668	revile	to criticize or speak about someone or something in an insulting or very negative manner	ののしる、罵る、ひどく悪口を言う	They reviled the politician.	彼らは政治家を罵った。	かれらはせいじかをののしった。	2	2	3174,3107,5457,5372,7405,7483,3572,4847,8427,7414
7669	ambush	to attack someone by surprise from a hidden position	待ち伏せ、奇襲	The soldiers ambushed the enemy.	兵士たちは敵を待ち伏せした。	へいしたちはてきをまちぶせした。	2	1	7546,2758,8334,7362,4067,5553,3706,2574,7346,11877
7670	parity	the state of being equal, especially regarding status or pay	同等、同格、類似	We need to achieve parity in pay between men and women.	男女間の賃金格差をなくす必要がある。	だんじょかんのちんぎんかくさをなくすひつようがある。	2	3	10184,11368,11788,14367,10548,1117,4621,4050,13427,13132
7671	strew	to scatter or spread things untidily over a surface or area	（物を）まき散らす、ばらまく	He strewed seeds in the garden.	彼は庭に種をまき散らした。	かれはにわにしゅをまきちらした。	2	1	12079,940,3777,13232,13115,5356,13559,7593,11718,4452
7672	replace A with B	to substitute or swap one thing (A) with another (B)	AをBに取り替える	Please replace the old bulb with a new one.	古い電球を新しいものに取り替えてください。	ふるいでんきゅうをあたらしいものにとりかえてください。	1	1	2298,5227,12293,4324,12195,8512,6080,3793,370,2645
7673	bastion	a stronghold or fortification; a place or system in which particular attitudes or activities are strongly protected or defended	とりで、要塞、よりどころ	The old castle was a bastion of resistance.	その古城は抵抗勢力のとりでだった。	そのこじょうはていこうせいりょくのとりでだった。	2	4	5214,11422,3213,8172,11920,11364,5204,6296,13477,13041
7674	deal in	to buy and sell a particular product or service, or to be involved in a certain type of activity	（商品を）扱う、取引する	He deals in used cars.	彼は中古車を扱っている。	かれはちゅうこしゃをあつかっている。	1	1	11309,12732,12034,10653,11372,7196,11486,5041,10223,12185
7675	complicity	the state of being involved with others in an illegal activity or wrongdoing	共謀、連累	He was charged with complicity in the crime.	彼はその犯罪に共謀した罪で告発された。	かれはそのはんざいにきょうぼうしたつみでこくはつされた。	2	2	6944,1181,11475,7532,2856,5530,174,11305,14343,13388
7676	renounce	to formally declare one's abandonment of a claim, belief, or course of action	（権利などを）放棄する、捨てる	He renounced his claim to the throne.	彼は王位を放棄した。	かれはおういをほうきした。	2	1	3471,7218,4051,9058,3601,13878,6044,5556,8644,8392
7677	extradition	the legal process by which a person accused or convicted of a crime is transferred to the jurisdiction of the foreign country or state where the crime was committed	身柄引き渡し、犯罪人引き渡し	He was subject to extradition.	彼は犯罪人引き渡しの対象となった。	かれははんざいにんひきわたしのたいしょうとなった。	2	4	2331,7314,10842,13220,10769,1844,6195,2961,541,7000
7678	brawl	a noisy, violent fight involving several people	乱闘、騒ぎ	A brawl broke out at the bar.	バーで乱闘が起きた。	ばーでらんとうがおきた。	2	2	7708,7190,8096,2422,14383,5581,6596,5574,794,9412
7679	clientele	the customers or clients of a store, restaurant, or other business	顧客、得意先	This store has a wealthy clientele.	この店は裕福な顧客層を抱えている。	このみせはゆうふくなこきゃくそうをかかえている。	2	4	9827,1465,9874,5571,4296,12034,10717,4200,10022,201
7680	reinstate	to restore someone or something to a previous position or condition	（元の地位に）復帰させる、回復させる	He was fired but later reinstated.	彼は解雇されたが、後に復職した。	かれはかいこされたが、あとにふくしょくした。	2	1	1646,10587,12818,5580,4734,12588,11791,1641,6094,10425
7681	grant A to B	to give or bestow something to someone, often officially or formally	AをBに与える、認める	The government granted asylum to the refugees.	政府は難民に亡命を許可した。	せいふはなんみんにぼうめいをきょかした。	1	1	3326,6437,8083,4095,5008,10275,6715,5123,8119,6903
7682	live up to	to meet expectations or standards	（期待などに）応える、沿う	He tried to live up to his parents' expectations.	彼は両親の期待に応えようとした。	かれはりょうしんのきたいにこたえようとした。	1	1	6898,538,716,7508,6641,1002,2708,7423,14353,10964
7683	pounce	to jump or swoop suddenly in order to attack or catch someone or something	飛びかかる、襲いかかる	The cat pounced on the little bird.	猫は小鳥に飛びかかりました。	ねこはことりにとびかかりました。	2	1	5194,6336,8373,2758,14389,1392,5934,5396,11315,7309
